proposal_id,space_id,title,total_votes,total_voting_power
0x13e489cc2b60e4b57876266b70e15d77d6ac86a23817dffba26043e69e3bf91e,stgdao.eth,Stargate New Oracle Configuration: Google Cloud Oracle,1000,20030.50669653681
0x2eff53c9e9f0bf19a98345d1d32103ec0ec859d81978eecacb38db16be33b94b,stgdao.eth,Stargate Foundation 12-month Budget Proposal,1000,7427.502919992776
0x3ab405d7d396f0b3bf04b966dd12b06ad5e81d3cf583eda8b890f2d744a98693,stgdao.eth,Lower TheAptosBridge Block Confirmations and Add Fees,1000,9316.875068226376
0xe8e92474bbd4ad0aa011cf69ad1873a9e30ab9c431f717e9d859a78fdd799a3a,stgdao.eth,Renewed Liquidity Incentivization Mandate,1000,7923.054523928129
0x73917ac1c09063a4776aea60176817f3aa3ee96b3a54f93ba9e9dddfc1add2ee,stgdao.eth,Transfer Ownership of TheAptosBridge to Stargate,1000,7269.845609102922
0x6078a960e2cb6b518dddc3773f7f40b30ab76bc6f2f3de2022eaafe78c8ee0a1,stgdao.eth,Stargate Deployment on IDEX/XCHAIN,1000,7535.6126344747145
0xc18c4911e19adf4bd54c6ad142bb08bc81fd44dee723e520c511c2a9414d5920,stgdao.eth,Deprecate the WOO liquidity pool on Fantom,1000,9094.092344944127
0xcfc335d45421a2d3b5f64d5ee19770ab103f539cedc240ba937691093b392bc4,stgdao.eth,Make Aura and Balancer the STG Liquidity Hub on Arbitrum,1000,9028.536572536525
0xd6bb6427e285ae4e269ebb9f4d0396808d2de356c654c19877402da4e3e8c44a,stgdao.eth,Beefy provides $OP incentives for STG liquidity.,1000,7827.795088294265
0xf1274081c9f4db1db77f30f21b53f61dde8716f8d3f2aac7367709bd4af369b2,stgdao.eth,Add Metis Chain support for MAI Bridging,1000,10969.850732766676
0x3cb9430062af89937887e9d359e4765de4f138c6bcea49ee66225a8fa998e97b,stgdao.eth,Re-Enable Fantom Pools,1000,10181.344598186819
0x85c675f303a69df297e1fdcf6dc2845366a8672362e946150ba4a4d7928cc8ea,stgdao.eth,Deprecation of METIS Pool on BSC,1000,10346.880296837744
0xed5fe9d40c9e82a53c548d4458fdca91d6d26c12cc34303c205906b5e1854e29,stgdao.eth,Stargate Deployment On Kava,1000,7858.21099492565
0x108a9e597560c4f249cd8be23acd409059fcd17bb2290d69a550ac2232676e7d,stgdao.eth,$ARB Token Allocation,1000,9358.298444337974
0x5280241b4ccc9b7c5088e657a714d28fa89bd5305a1ff0abf0736438c446ae98,stgdao.eth,Ammendment to SIP#20 - Continued Balance and Rebalancing,1000,9511.726361632378
0x04df8aafa123cf995b4ef28e0d28c4987ae09a41a4396235bd9c7368b05fdc80,stgdao.eth,Update Stargate EqReward Design,1000,12021.678884647396
